Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
AUDI,A1,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,98,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 17'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,98,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 7speed S tronic 15'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A1 Sportback,1.6 TDI 116PS 7speed S tronic 16'' wheels,D7,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,71.0,109,,27,66,0.19,,,,,,,
AUDI,A3 Sportback,1.6 TDI 110PS 16'' wheels,M6,1598,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,99,£903,,£903,6,71.0,116,,54,88,0.00,,,,,,,
AUDI,A4 Saloon,2.0 TDI 150PS Ultra 17'' wheels,M6,1968,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,70.0,196,,63,101,0.03,,,,,,,
BMW,"1 Series 3-door F21, From September 2012",116d 16'' tyres,A8,1496,Diesel,,,,,4.1,3.4,3.6,68.9,83.1,78.5,96,£855,,£855,6,68.0,86,,25,52,0.07,,,,,,,
BMW,"1 Series 3-door F21, From September 2012","116d 16"" tyres",M6,1496,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£855,,£855,6,68.0,173,,29,62,0.09,,,,,,,
BMW,"1 Series 3-door F21, From September 2012",118d 16'' tyres,A8,1995,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,73.0,169,,30,36,0.09,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",116d 16'' tyres,M6,1496,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£855,,£855,6,68.0,173,,29,62,0.09,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",116d 16'' tyres,A8,1496,Diesel,,,,,4.1,3.4,3.6,68.9,83.1,78.5,96,£855,,£855,6,68.0,86,,25,52,0.07,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",118d 16'' tyres,A8,1995,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,99,£903,,£903,6,73.0,169,,30,36,0.09,,,,,,,
BMW,"2 Series Active Tourer F45, From September 2014",216d Active Tourer - 16'' & 17'' tyres,M6,1496,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£903,,£903,6,69.0,99,,53,79,0.00,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d EfficientDynamics - 7Jx16'' wheels,A8,1995,Diesel,,,,,4.6,3.3,3.8,61.4,85.6,74.3,99,£903,,£903,6,73.0,148,,30,38,0.10,,,,,,,
CITROEN,C3,BlueHDi 100 S&S 16/17 inch wheels,M5,1560,Diesel,,,,,4.4,3.2,3.7,64.2,88.3,76.3,95,£879,,£879,6,68.5,301,,33,55,0.08,,,,,,,
CITROEN,C3,BlueHDi 75 S&S 15 inch wheels,M5,1560,Diesel,,,,,4.2,3.1,3.5,67.3,91.1,80.7,92,£831,,£831,6,69.3,181,,28,46,0.29,,,,,,,
CITROEN,C3,BlueHDi 75 S&S 16/17 inch wheels,M5,1560,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,93,£855,,£855,6,69.3,181,,28,46,0.29,,,,,,,
CITROEN,C4,BlueHDi 100,M5,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,95,£855,,£855,6,70.4,354,,57,80,0.22,,,,,,,
CITROEN,C4,BlueHDi 100 (17'' wheels),M5,1560,Diesel,,,,,4.5,3.4,3.8,62.8,83.1,74.3,98,£903,,£903,6,70.4,354,,57,80,0.22,,,,,,,
CITROEN,C4,"BlueHDi 120 S&S (16"" wheels)",M6,1560,Diesel,,,,,4.2,3.3,3.6,67.3,85.6,78.5,95,£855,,£855,6,70.1,258,,56,77,0.08,,,,,,,
CITROEN,C4,BlueHDi 120 S&S (17'' & 18'' wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,70.1,258,,56,77,0.08,,,,,,,
CITROEN,C4,BlueHDi 120 S&S EAT6 (16'' wheels) 10/16 production onwards,A6,1560,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,100,£927,,£927,6,68.0,153,,55,66,0.14,,,,,,,
CITROEN,C4,BlueHDi 120 S&S EAT6 (16'' wheels) production up to 09/16,A6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,98,£903,,£903,6,68.0,153,,55,66,0.14,,,,,,,
CITROEN,C4 Cactus,BlueHDi 100,M5,1560,Diesel,,,,,4.2,3.3,3.6,67.3,85.6,78.5,95,£855,,£855,6,70.4,248,,45,63,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,,,,,4.5,3.5,3.8,62.8,80.7,74.3,99,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,C4 Picasso,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S (16 inch wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.1,293,,72,97,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S (17 inch wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.1,293,,72,97,0.14,,,,,,,
CITROEN,C4 Picasso,BlueHDi 120 S&S EAT6 (16 inch wheels) production up to 10/16,A6,1560,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,100,£903,,£903,6,68.4,118,,59,66,0.13,,,,,,,
CITROEN,Grand C4 Picasso,BlueHDi 100 S&S (16 inch wheels),M5,1560,Diesel,,,,,4.5,3.5,3.8,62.8,80.7,74.3,99,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
CITROEN,Grand C4 Picasso,BlueHDi 100 S&S (17 inch wheels),M5,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,69.3,202,,23,41,0.27,,,,,,,
DACIA,"Sandero  Stepway Euro6, 2015",dCi 90,M5,1461,Diesel,,,,,4.4,3.5,3.8,64.7,80.4,74.3,98,£903,,£903,6,74.7,225,,30,87,0.02,,,,,,,
DS,DS3,BlueHDi 120 S&S,M6,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,94,£855,,£855,6,68.7,161,,69,81,0.27,,,,,,,
DS,DS3 Cabriolet,BlueHDi 100 S&S,M5,1560,Diesel,,,,,4.0,3.3,3.5,70.6,85.6,80.7,92,£831,,£831,6,69.5,196,,34,53,0.08,,,,,,,
DS,DS3 Cabriolet,BlueHDi 120 S&S,M6,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,94,£855,,£855,6,68.7,161,,69,81,0.27,,,,,,,
DS,DS4,BlueHDi 120 S&S (17'' wheels),M6,1560,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,68.6,204,,58,76,0.30,,,,,,,
FIAT,"Panda, From February 2012 onwards",1.3 16v MultiJet 95 bhp Trekking,M5,1248,Diesel,,,,,4.4,3.5,3.8,64.2,80.7,74.3,100,£903,,£903,6,67.0,164,,53,87,0.59,,,,,,,
FIAT,"Tipo Hatchback, September 2016 Onwards",1.3 MultiJet 95 bhp,M5,1248,Diesel,,,,,4.5,3.3,3.7,62.8,85.6,76.3,99,£879,,£879,6,72.0,216,,54,93,0.39,,,,,,,
